id,question,language,question_type,should_answer,answer,expected_answer_summary,expected_pages,expected_document,answer_keyword_score,semantic_answer_score,semantic_answer_pass,source_page_accuracy,citation_verified_rate,citations_all_verified,required_keywords,required_keywords_pass,unsupported_handled,latency_seconds,insufficient_data,passed
en-001,What are the three RAG paradigms discussed in the paper?,english,factual,True,"Naive RAG, Advanced RAG, Modular RAG [page 3].","Naive RAG, Advanced RAG, Modular RAG",[1],2312.10997v5.pdf,1.0,0.9394,True,True,0.0,False,"['Naive RAG', 'Advanced RAG', 'Modular RAG']",True,,8.09,False,False
en-002,What is Naive RAG?,english,factual,True,"Naive RAG represents the earliest methodology, which gained prominence shortly after [page 2]. It mainly consists of three parts: indexing, retrieval and generation.","Naive RAG is the classic RAG framework with a retrieve-then-generate pipeline including index, retrieve and generate stages",[2],2312.10997v5.pdf,0.25,0.7185,True,True,1.0,True,"['Naive RAG', 'indexing', 'retrieval', 'generation']",True,,8.61,False,True
en-003,What is Advanced RAG?,english,factual,True,Advanced RAG [page 16].,"Advanced RAG introduces pre-retrieval, retrieval and post-retrieval improvements to address limitations of Naive RAG","[2, 3]",2312.10997v5.pdf,0.1538,0.5908,False,False,1.0,True,"['Advanced RAG', 'pre-retrieval', 'post-retrieval']",False,,5.49,False,False
en-004,What is Modular RAG?,english,factual,True,"Modular RAG builds upon the foundational principles of Advanced and Naive RAG, illustrating a progression and refinement within the RAG family. It introduces additional specialized components to enhance retrieval and processing capabilities.

• Modular RAG framework
• Builds upon Advanced and Naive RAG
• Introduces new modules for enhanced capabilities",Modular RAG adopts a modular architecture with trainable and flexible components enabling task-specific customization and pattern recombination,"[2, 3, 4]",2312.10997v5.pdf,0.3333,0.6684,False,True,,,"['Modular RAG', 'modular', 'flexible']",False,,11.83,False,False
en-005,What challenges does RAG face?,english,factual,True,"• Enhancing retrieval efficiency [3]
• Improving document recall in large knowledge bases [3]
• Ensuring data security and preventing inadvertent disclosure of document sources or metadata [3]
• Addressing hallucination [Insufficient data to verify from the uploaded documents.]","RAG faces challenges including missing content, not selected, not merged, hallucination, and relevance mismatch","[15, 16, 17]",2312.10997v5.pdf,0.0769,0.4893,False,True,,,"['missing content', 'hallucination']",False,,9.98,False,False
en-006,What does the paper say about evaluation of RAG systems?,english,methodology,True,"The primary objective of evaluating RAG models is to comprehend and optimize their performance across diverse application scenarios. The main evaluation objectives include Retrieval Quality.

[page 12]","The paper discusses evaluation metrics, datasets and benchmarks for assessing RAG systems including answer quality and retrieval accuracy","[12, 13]",2312.10997v5.pdf,0.2941,0.7414,True,True,1.0,True,"['evaluation', 'metrics', 'benchmarks']",False,,8.88,False,False
en-007,Compare Naive RAG and Advanced RAG.,english,comparison,True,"Naive RAG and Advanced RAG differ in their optimization strategies around pre-retrieval and post-retrieval processes. 

Advanced RAG proposes multiple optimization strategies compared to the chain-like structure of Naive RAG, showcasing greater flexibility overall [2].","Naive RAG is the basic retrieve-then-generate pipeline while Advanced RAG adds pre-retrieval, retrieval and post-retrieval improvements for better quality","[2, 3]",2312.10997v5.pdf,0.3333,0.8158,True,True,,,"['Naive RAG', 'Advanced RAG']",True,,10.76,False,True
ar-001,ما هي أنواع RAG الثلاثة التي يناقشها البحث؟,arabic,factual,True,هناك ثلاث أنواع من RAG وهي Naive RAG، Advanced RAG، وModular RAG.,Naive RAG وAdvanced RAG وModular RAG,[1],2312.10997v5.pdf,0.75,0.8089,True,True,,,"['Naive RAG', 'Advanced RAG', 'Modular RAG']",True,,10.84,False,True
ar-002,ما المقصود بـ Naive RAG؟,arabic,factual,True,Naive RAG هي paradigm research التي تمثل الأسلوب المبكر للراغ، الذي أصبح مشهورًا قليلاً بعدة أشهر من نشر [page 2].,Naive RAG هو إطار RAG الكلاسيكي الذي يعتمد على خط أنابيب استرجاع ثم توليد يتضمن مراحل الفهرسة والاسترجاع والتوليد,[2],2312.10997v5.pdf,0.1667,0.6358,False,True,1.0,True,"['Naive RAG', 'RAG']",True,,9.22,False,False
ar-003,ما هو Advanced RAG؟,arabic,factual,True,Advanced RAG (RAG) هو paradigm يعتبر تحسينًا على Naive RAG، ويقدم ميزات جديدة مثل التعلم العميق والتعزيز.,Advanced RAG يقدم تحسينات ما قبل الاسترجاع وأثناء الاسترجاع وما بعد الاسترجاع لمعالجة قيود Naive RAG,"[2, 3]",2312.10997v5.pdf,0.2308,0.7237,True,False,,,['Advanced RAG'],True,,7.07,False,False
